Account,Token Account,Quantity,Percentage
5mXCu9bmJpBbNfLSJmtUYwQy84VsnK3FdHL4wK69AaCT,PWoPFEZVxi9pJYXwPhVymCvd1Fqs4K8etKKfjvnSzvQ,3307049.755413,0.33
3wPpQrenu82bA9w2PCdeXsJWwxmvpLCnTmtUpShoYbQf,GwtKKSys6nVwLvw8YaNqzmjyQUrBAH5WhUExB7ZLuzfy,3142712.171692,0.31
28EqZGBwYiiZrSGUu5TJidm9aw3Sn4gPjXTP1ePvtp3C,FkTZViCGjWEtLrcJYPxCsFftXevvmV1SbZLvV6Chk8wW,3105297.150173,0.31
7VR9sTtrLL6UHbJzf5pXcQrbNSasUC11xqLiSMs7JDrr,Ei7CkAKTkVcoZYnhxtKn644vpUB6VeEuqPY7g12RF62G,2992833.665753,0.30
2tbS9DZTX999ES2vFuLDgGUgbympUbdyp49APCtx9t3w,GbWnWKG4R2ZufQFKapUvQXQ8fe6frgu5XJrWzToJHJzt,2652615.181743,0.26
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,3cMCxgHQNBHmt9Tzwe2qcHgoA5Monz9kTjFir1naeQgB,2531583.499394,0.25
3LVSJNxviBDCZqTcE9EJ3uLvn8iq9iL9LRQmz6vHyiDv,8kVQrgemtciArUZvnLhvRhV1fBSRG2pNmxsBUyDX9zvA,2451238.081284,0.24
CjsSz2JtBd55kzz1RDbEi6QP8SxRS4VuddyLjiHv3ZqV,DfTbrREmJZGkFaNm2dBwtuqqP9aaVetqgNQFfFhvd312,2192986.672399,0.22
2HZQyYRq2Pt8aUGDE4SBtgRDQWLmHxccRiYRYfQz1E6M,6yQm3vcvanvK5of6rCYPC7QbeQ1xSjSHW7DyAwUWFrqJ,2053566.642608,0.20
FHWoivt1UpmqtvpMo8dg97svTfykep13hjrq9TRxZH3h,3258HcCtwZXRBEgYt7aoKiC1DhaFJJqCTZAZf4VTWLWy,1845662.160318,0.18
4ViM7bxSqFUUWdtDuprAaFj8TD2QwZsYKqn3LJTXj1Si,CzQp6FRUuFz3xMzT3VyXuJb6MrK6qCi4zEC3E1WXHXdF,1212405.122055,0.12
H9Jdp2FtMhDRzXiuzouTdokhYc77uCWWcZ6PmwerEmsC,3ob7RQ6E8oi17padq2jsZASgZGi95m9VFqzNaaJYiZyh,1203642.440272,0.12
5hwRKmUafTaz3wavfx5i9Yn6SZYLfdTDPT2AJ7ecHQbD,G2Zo7QzManDYFnNArWGQQtNmrrXmZWgVfVACFiA2FihW,1198328.785487,0.12
6U8guRAFCfGWgkUW3VeB2472Y8KQBo1EC8XpVRtcc46r,BGRwYHkW2hCVZcZpyyVjDcHV8gC29KoV5HxuGLMQMb7p,1148124.229193,0.11
3ZrRLpUp5ouzFrwnZrzzkL7CwsvZxpqHBDsjwFR6raRT,GzHcVtCyQEDcQg677dzSKLFCF8MpVwYxYQEVUoYaFEwF,1137096.910082,0.11
Capz8oGSQsG7wUPnftu2687wx9foumZaZG4h3GG3aR2D,8XHSZrt4n6U4Ej7y3ha7BKfncZBjqbAp5QdehgvokcsX,1106313.666038,0.11
Fxg1SQEhUKJbwBduYd3eAFpmuFdzWUcEFCcx6zwuhJbp,2GkoVGAwBzhHFYBLFU7L66HKBvXYsk8Tw3LXq394H96z,1062606.269659,0.11
E6BnpSR4LVZcsZbXiBipnwJPE9noJEhFUPqRwzJ6ohBF,81Px4WfqA7kEfqkt3to5jsryvEdrcjPdZbW8nKgWMKA3,1002403.935525,0.10
C2cgpHVVLLKn4iK6qZAvKbqJRR1TmSHQVdB8a2k6fcjX,2CKPChZxT8LmusyTxJGWu1jZHY7UdirwPjxBLussn7Bh,785622.260684,0.08
GxasNgiC6nYTJefZpBKaMUjJfvV6LF5inH3ej7AdgJ49,238FVm12WFQwDMP2FJ1xWN8dZigQphoMpmaBsxtCrUso,764293.669963,0.08
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,2MjFxNzJpMaLY5GN7B361AbAUrJR49YNuL116LBst1Qy,659319.621167,0.07
2xd86B5SjGvia4KtJ5AtQhdnewMBL55kraR8CvYZhvhU,BGUYMHxtrknysewnd4Y4RQaEQZiaFzNsxJNzAqJwi1cA,634325.598253,0.06
B93Ehj3oDB9EBNUn41hd4WbRDRGC4NWsuBJb5eytNHDw,F9Gr6Rp5fSps4tWURu8MwijmXVTL8ChPbccreN6tgduF,573840.461326,0.06
FfsfCqe835xxmdRngTBCceBPevyiYjK9xrGyuy3LUnuq,EnVCv2giSV7hQ5epNqwS1ghxEvqdZxVKLZEDKWe9FQpg,562173.534797,0.06
DAsUHfFNyfTPP6oofe3jyEACvtuih3fFDmC5hXaPHtUc,2ygjbGHkEYVqBUopbC78aLuoFAXcKtLE7Ufgjdx54996,543910.280057,0.05
4rFUGQT8nqefHupJnV2BpGD5jv1YwMQjXTQqbsD9YZbY,UwjeRgDaKsfFWifA9VxYshApK85sMN32yiSvTx2Cjii,535508.184168,0.05
